constructorId,constructorRef,name,nationality,url,hexColor
77,trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team),#261C23
78,amon,Amon,New Zealand,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),#97CBED
79,token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team),#246E0A
80,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro,#2B3734
81,tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno,#CB0736
82,matra,Matra,French,http://en.wikipedia.org/wiki/Matra,#0029AD
83,politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,#32484B
84,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,#FF0000
85,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,#396B52
86,tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#5BBEE7
87,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
88,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#003876
89,lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#0084C6
90,protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor),#F30837
91,shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One),#167B53
92,scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell,#14247C
93,re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29,#66ADE0
94,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,#B7DF89
95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,#919492
96,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,#E52B1C
97,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,#2B5B4B
98,stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro,#181818
99,emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson,#16221E
100,enb,ENB,Belgium,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,#E2C13A
